R01 C01
R02 C01
R03 C02
R04 C02
R05 C03
R06 C03
R07 C03
R08 C04
R09 C04
R10 C05
R11 C05
R12 C05
R13 C04
R14 C04
R15 C05
R16 C05
R17 C05
R18 C05
R19 C04
R20 C04
R21 C04
R22 C05
R23 C05
LE
E01 R01 R02
E02 R03 R04
E03 R05 R06
E04 R06 R07
E05 R08 R09
E06 R08 R14
E07 R09 R14
E08 R08 R13
E09 R13 R14
E10 R13 R19
E11 R19 R20
E12 R14 R20
E13 R14 R21
E14 R20 R21
E15 R10 R11
E16 R11 R15
E17 R12 R15
E18 R16 R11
E19 R11 R17
E20 R15 R17
E21 R15 R18
E22 R16 R17
E23 R17 R18
E24 R16 R22
E25 R17 R22
E26 R17 R23
E27 R23 R18
E28 R22 R23
ME
M01 R02 R08
M02 R02 R03
M03 R04 R05
M04 R04 R10
M05 R07 R12
M06 R09 R10
M07 R21 R16
START R10
